premises_en	hypothesis_en_1	hypothesis_en_2	hypothesis_en_3	hypothesis_en_4	hypothesis_en_5	mood_premises	figure	has-conclusion	gold	content-type	conversion	conversion-type	image_id	image_path	term1	term2	term3
All B are A. All C are B.	Some C are not A.	All C are A.	No C are A.	Some C are A.	none of them	AA	1	yes	2	symbolic	no	n/a	euler_1_AA1	images/euler_1_AA1.png	A	B	C
All A are B. All C are B.	Some C are A.	No C are A.	none of them	All C are A.	Some C are not A.	AA	2	no	3	symbolic	yes	A	euler_1_AA2	images/euler_1_AA2.png	A	B	C
All B are A. All B are C.	Some C are not A.	none of them	No C are A.	Some C are A.	All C are A.	AA	3	no	2	symbolic	yes	A	euler_1_AA3	images/euler_1_AA3.png	A	B	C
All A are B. All B are C.	Some C are A.	Some C are not A.	none of them	No C are A.	All C are A.	AA	4	no	3	symbolic	yes	A	euler_1_AA4	images/euler_1_AA4.png	A	B	C
All B are A. No C are B.	No C are A.	Some C are not A.	All C are A.	Some C are A.	none of them	AE	1	no	5	symbolic	yes	A	euler_1_AE1	images/euler_1_AE1.png	A	B	C
All A are B. No C are B.	none of them	No C are A.	Some C are A.	Some C are not A.	All C are A.	AE	2	yes	2	symbolic	no	n/a	euler_1_AE2	images/euler_1_AE2.png	A	B	C
All B are A. No B are C.	none of them	All C are A.	No C are A.	Some C are not A.	Some C are A.	AE	3	no	1	symbolic	yes	A	euler_1_AE3	images/euler_1_AE3.png	A	B	C
All A are B. No B are C.	Some C are A.	All C are A.	none of them	No C are A.	Some C are not A.	AE	4	yes	4	symbolic	no	n/a	euler_1_AE4	images/euler_1_AE4.png	A	B	C
All B are A. Some C are B.	Some C are A.	No C are A.	All C are A.	none of them	Some C are not A.	AI	1	yes	1	symbolic	no	n/a	euler_1_AI1	images/euler_1_AI1.png	A	B	C
All A are B. Some C are B.	All C are A.	Some C are not A.	none of them	Some C are A.	No C are A.	AI	2	no	3	symbolic	yes	A	euler_1_AI2	images/euler_1_AI2.png	A	B	C
All B are A. Some B are C.	none of them	No C are A.	All C are A.	Some C are A.	Some C are not A.	AI	3	yes	4	symbolic	no	n/a	euler_1_AI3	images/euler_1_AI3.png	A	B	C
All A are B. Some B are C.	none of them	No C are A.	Some C are not A.	All C are A.	Some C are A.	AI	4	no	1	symbolic	yes	A	euler_1_AI4	images/euler_1_AI4.png	A	B	C
All B are A. Some C are not B.	none of them	All C are A.	Some C are not A.	Some C are A.	No C are A.	AO	1	no	1	symbolic	yes	A	euler_1_AO1	images/euler_1_AO1.png	A	B	C
All A are B. Some C are not B.	No C are A.	none of them	Some C are A.	Some C are not A.	All C are A.	AO	2	yes	4	symbolic	no	n/a	euler_1_AO2	images/euler_1_AO2.png	A	B	C
All B are A. Some B are not C.	All C are A.	No C are A.	Some C are not A.	none of them	Some C are A.	AO	3	no	4	symbolic	yes	AO	euler_1_AO3	images/euler_1_AO3.png	A	B	C
All A are B. Some B are not C.	Some C are A.	Some C are not A.	All C are A.	none of them	No C are A.	AO	4	no	4	symbolic	yes	O	euler_1_AO4	images/euler_1_AO4.png	A	B	C
No B are A. All C are B.	Some C are A.	none of them	No C are A.	All C are A.	Some C are not A.	EA	1	yes	3	symbolic	no	n/a	euler_1_EA1	images/euler_1_EA1.png	A	B	C
No A are B. All C are B.	Some C are A.	No C are A.	Some C are not A.	none of them	All C are A.	EA	2	yes	2	symbolic	no	n/a	euler_1_EA2	images/euler_1_EA2.png	A	B	C
No B are A. All B are C.	Some C are not A.	No C are A.	All C are A.	Some C are A.	none of them	EA	3	no	5	symbolic	yes	A	euler_1_EA3	images/euler_1_EA3.png	A	B	C
No A are B. All B are C.	none of them	Some C are not A.	Some C are A.	No C are A.	All C are A.	EA	4	no	1	symbolic	yes	A	euler_1_EA4	images/euler_1_EA4.png	A	B	C
No B are A. Some C are B.	Some C are A.	none of them	No C are A.	Some C are not A.	All C are A.	EI	1	yes	4	symbolic	no	n/a	euler_1_EI1	images/euler_1_EI1.png	A	B	C
No A are B. Some C are B.	All C are A.	Some C are not A.	none of them	No C are A.	Some C are A.	EI	2	yes	2	symbolic	no	n/a	euler_1_EI2	images/euler_1_EI2.png	A	B	C
No B are A. Some B are C.	No C are A.	Some C are A.	Some C are not A.	All C are A.	none of them	EI	3	yes	3	symbolic	no	n/a	euler_1_EI3	images/euler_1_EI3.png	A	B	C
No A are B. Some B are C.	No C are A.	none of them	All C are A.	Some C are A.	Some C are not A.	EI	4	yes	5	symbolic	no	n/a	euler_1_EI4	images/euler_1_EI4.png	A	B	C
Some B are A. All C are B.	none of them	No C are A.	Some C are A.	All C are A.	Some C are not A.	IA	1	no	1	symbolic	yes	A	euler_1_IA1	images/euler_1_IA1.png	A	B	C
Some A are B. All C are B.	Some C are not A.	Some C are A.	No C are A.	All C are A.	none of them	IA	2	no	5	symbolic	yes	A	euler_1_IA2	images/euler_1_IA2.png	A	B	C
Some B are A. All B are C.	Some C are not A.	All C are A.	No C are A.	none of them	Some C are A.	IA	3	yes	5	symbolic	no	n/a	euler_1_IA3	images/euler_1_IA3.png	A	B	C
Some A are B. All B are C.	Some C are A.	Some C are not A.	none of them	No C are A.	All C are A.	IA	4	yes	1	symbolic	no	n/a	euler_1_IA4	images/euler_1_IA4.png	A	B	C
Some B are not A. All C are B.	Some C are not A.	No C are A.	none of them	Some C are A.	All C are A.	OA	1	no	3	symbolic	yes	A	euler_1_OA1	images/euler_1_OA1.png	A	B	C
Some A are not B. All C are B.	Some C are A.	none of them	All C are A.	Some C are not A.	No C are A.	OA	2	no	2	symbolic	yes	AO	euler_1_OA2	images/euler_1_OA2.png	A	B	C
Some B are not A. All B are C.	none of them	All C are A.	Some C are A.	No C are A.	Some C are not A.	OA	3	yes	5	symbolic	no	n/a	euler_1_OA3	images/euler_1_OA3.png	A	B	C
