premises_en	hypothesis_en	gold	content-type	conversion	conversion-type	mood	figure	image_id	image_path	term1	term2	term3
All A are B. No B are C.	Some C are A.	contradiction	symbolic	no	n/a	AEI	4	euler_1_AE4	images/euler_1_AE4.png	A	B	C
No A are B. Some B are C.	All C are A.	contradiction	symbolic	no	n/a	EIA	4	euler_1_EI4	images/euler_1_EI4.png	A	B	C
All B are A. All C are B.	Some C are not A.	contradiction	symbolic	no	n/a	AAO	1	euler_1_AA1	images/euler_1_AA1.png	A	B	C
No A are B. All C are B.	Some C are A.	contradiction	symbolic	no	n/a	EAI	2	euler_1_EA2	images/euler_1_EA2.png	A	B	C
Some B are A. All B are C.	No C are A.	contradiction	symbolic	no	n/a	IAE	3	euler_1_IA3	images/euler_1_IA3.png	A	B	C
No B are A. Some B are C.	All C are A.	contradiction	symbolic	no	n/a	EIA	3	euler_1_EI3	images/euler_1_EI3.png	A	B	C
All B are A. Some B are C.	No C are A.	contradiction	symbolic	no	n/a	AIE	3	euler_1_AI3	images/euler_1_AI3.png	A	B	C
All A are B. Some C are not B.	All C are A.	contradiction	symbolic	no	n/a	AOA	2	euler_1_AO2	images/euler_1_AO2.png	A	B	C
All A are B. No C are B.	Some C are A.	contradiction	symbolic	no	n/a	AEI	2	euler_1_AE2	images/euler_1_AE2.png	A	B	C
Some B are not A. All B are C.	All C are A.	contradiction	symbolic	no	n/a	OAA	3	euler_1_OA3	images/euler_1_OA3.png	A	B	C
No B are A. Some C are B.	All C are A.	contradiction	symbolic	no	n/a	EIA	1	euler_1_EI1	images/euler_1_EI1.png	A	B	C
Some A are B. All B are C.	No C are A.	contradiction	symbolic	no	n/a	IAE	4	euler_1_IA4	images/euler_1_IA4.png	A	B	C
No B are A. All C are B.	Some C are A.	contradiction	symbolic	no	n/a	EAI	1	euler_1_EA1	images/euler_1_EA1.png	A	B	C
All B are A. Some C are B.	No C are A.	contradiction	symbolic	no	n/a	AIE	1	euler_1_AI1	images/euler_1_AI1.png	A	B	C
No A are B. Some C are B.	All C are A.	contradiction	symbolic	no	n/a	EIA	2	euler_1_EI2	images/euler_1_EI2.png	A	B	C
All A are B. Some C are not B.	Some C are not A.	entailment	symbolic	no	n/a	AOO	2	euler_1_AO2	images/euler_1_AO2.png	A	B	C
Some B are A. All B are C.	Some C are A.	entailment	symbolic	no	n/a	IAI	3	euler_1_IA3	images/euler_1_IA3.png	A	B	C
No A are B. Some B are C.	Some C are not A.	entailment	symbolic	no	n/a	EIO	4	euler_1_EI4	images/euler_1_EI4.png	A	B	C
All B are A. Some B are C.	Some C are A.	entailment	symbolic	no	n/a	AII	3	euler_1_AI3	images/euler_1_AI3.png	A	B	C
Some B are not A. All B are C.	Some C are not A.	entailment	symbolic	no	n/a	OAO	3	euler_1_OA3	images/euler_1_OA3.png	A	B	C
No B are A. Some C are B.	Some C are not A.	entailment	symbolic	no	n/a	EIO	1	euler_1_EI1	images/euler_1_EI1.png	A	B	C
All A are B. No C are B.	No C are A.	entailment	symbolic	no	n/a	AEE	2	euler_1_AE2	images/euler_1_AE2.png	A	B	C
No B are A. Some B are C.	Some C are not A.	entailment	symbolic	no	n/a	EIO	3	euler_1_EI3	images/euler_1_EI3.png	A	B	C
No B are A. All C are B.	No C are A.	entailment	symbolic	no	n/a	EAE	1	euler_1_EA1	images/euler_1_EA1.png	A	B	C
All A are B. No B are C.	No C are A.	entailment	symbolic	no	n/a	AEE	4	euler_1_AE4	images/euler_1_AE4.png	A	B	C
No A are B. All C are B.	No C are A.	entailment	symbolic	no	n/a	EAE	2	euler_1_EA2	images/euler_1_EA2.png	A	B	C
No A are B. Some C are B.	Some C are not A.	entailment	symbolic	no	n/a	EIO	2	euler_1_EI2	images/euler_1_EI2.png	A	B	C
All B are A. All C are B.	All C are A.	entailment	symbolic	no	n/a	AAA	1	euler_1_AA1	images/euler_1_AA1.png	A	B	C
Some A are B. All B are C.	Some C are A.	entailment	symbolic	no	n/a	IAI	4	euler_1_IA4	images/euler_1_IA4.png	A	B	C
All B are A. Some C are B.	Some C are A.	entailment	symbolic	no	n/a	AII	1	euler_1_AI1	images/euler_1_AI1.png	A	B	C
Some A are not B. All B are C.	Some C are not A.	neutral	symbolic	yes	O	OAO	4	euler_1_OA4	images/euler_1_OA4.png	A	B	C
Some A are not B. All C are B.	Some C are A.	neutral	symbolic	no	n/a	OAI	2	euler_1_OA2	images/euler_1_OA2.png	A	B	C
Some A are B. All B are C.	Some C are not A.	neutral	symbolic	no	n/a	IAO	4	euler_1_IA4	images/euler_1_IA4.png	A	B	C
No A are B. All C are B.	All C are A.	neutral	symbolic	no	n/a	EAA	2	euler_1_EA2	images/euler_1_EA2.png	A	B	C
All B are A. Some C are not B.	Some C are not A.	neutral	symbolic	yes	A	AOO	1	euler_1_AO1	images/euler_1_AO1.png	A	B	C
All A are B. Some C are B.	No C are A.	neutral	symbolic	no	n/a	AIE	2	euler_1_AI2	images/euler_1_AI2.png	A	B	C
All A are B. No B are C.	All C are A.	neutral	symbolic	no	n/a	AEA	4	euler_1_AE4	images/euler_1_AE4.png	A	B	C
All A are B. Some B are C.	All C are A.	neutral	symbolic	no	n/a	AIA	4	euler_1_AI4	images/euler_1_AI4.png	A	B	C
All A are B. Some B are not C.	Some C are not A.	neutral	symbolic	yes	O	AOO	4	euler_1_AO4	images/euler_1_AO4.png	A	B	C
Some B are not A. All C are B.	Some C are not A.	neutral	symbolic	yes	A	OAO	1	euler_1_OA1	images/euler_1_OA1.png	A	B	C
All A are B. Some B are not C.	No C are A.	neutral	symbolic	no	n/a	AOE	4	euler_1_AO4	images/euler_1_AO4.png	A	B	C
All B are A. Some B are C.	Some C are not A.	neutral	symbolic	no	n/a	AIO	3	euler_1_AI3	images/euler_1_AI3.png	A	B	C
