premises_en	hypothesis_en	gold	content-type	conversion	figure	image_id	mood	premise1_logic	premise2_logic	premise1_ascii	premise2_ascii
All A are B. No B are C.	Some C are A.	contradiction	symbolic	no	4	euler_1_AE4	AEI	A ⊆ B	B ∩ C = ∅	"A:                                 ------
B:                          ---------------"	"B:                      -------
C:                                    --------"
No A are B. Some B are C.	All C are A.	contradiction	symbolic	no	4	euler_1_EI4	EIA	A ∩ B = ∅	B ∩ C ≠ ∅	"A:                      -------
B:                                    --------"	"B:                        -----x----
C:                           --x---------"
All B are A. All C are B.	Some C are not A.	contradiction	symbolic	no	1	euler_1_AA1	AAO	B ⊆ A	C ⊆ B	"B:                                 ------
A:                          ---------------"	"C:                                 ------
B:                          ---------------"
No A are B. All C are B.	Some C are A.	contradiction	symbolic	no	2	euler_1_EA2	EAI	A ∩ B = ∅	C ⊆ B	"A:                      -------
B:                                    --------"	"C:                                 ------
B:                          ---------------"
Some B are A. All B are C.	No C are A.	contradiction	symbolic	no	3	euler_1_IA3	IAE	B ∩ A ≠ ∅	B ⊆ C	"B:                        -----x----
A:                           --x---------"	"B:                                 ------
C:                          ---------------"
No B are A. Some B are C.	All C are A.	contradiction	symbolic	no	3	euler_1_EI3	EIA	B ∩ A = ∅	B ∩ C ≠ ∅	"B:                      -------
A:                                    --------"	"B:                        -----x----
C:                           --x---------"
All B are A. Some B are C.	No C are A.	contradiction	symbolic	no	3	euler_1_AI3	AIE	B ⊆ A	B ∩ C ≠ ∅	"B:                                 ------
A:                          ---------------"	"B:                        -----x----
C:                           --x---------"
All A are B. Some C are not B.	All C are A.	contradiction	symbolic	no	2	euler_1_AO2	AOA	A ⊆ B	C \ B ≠ ∅	"A:                                 ------
B:                          ---------------"	"C:                        --x-------
B:                                 -----------"
All A are B. No C are B.	Some C are A.	contradiction	symbolic	no	2	euler_1_AE2	AEI	A ⊆ B	C ∩ B = ∅	"A:                                 ------
B:                          ---------------"	"C:                      -------
B:                                    --------"
Some B are not A. All B are C.	All C are A.	contradiction	symbolic	no	3	euler_1_OA3	OAA	B \ A ≠ ∅	B ⊆ C	"B:                        --x-------
A:                                 -----------"	"B:                                 ------
C:                          ---------------"
No B are A. Some C are B.	All C are A.	contradiction	symbolic	no	1	euler_1_EI1	EIA	B ∩ A = ∅	C ∩ B ≠ ∅	"B:                      -------
A:                                    --------"	"C:                        -----x----
B:                           --x---------"
Some A are B. All B are C.	No C are A.	contradiction	symbolic	no	4	euler_1_IA4	IAE	A ∩ B ≠ ∅	B ⊆ C	"A:                        -----x----
B:                           --x---------"	"B:                                 ------
C:                          ---------------"
No B are A. All C are B.	Some C are A.	contradiction	symbolic	no	1	euler_1_EA1	EAI	B ∩ A = ∅	C ⊆ B	"B:                      -------
A:                                    --------"	"C:                                 ------
B:                          ---------------"
